epoch,phase,train_loss,validation_loss,validation_f1,validation_precision,validation_recall,validation_accuracy,validation_tn,validation_fp,validation_fn,validation_tp
1,head,0.3969726544900857,0.5416722922668585,0.6014319809069213,0.9767441860465116,0.43448275862068964,0.7202680067001676,304,3,164,126
2,head,0.21236560135498683,0.3110597582917717,0.8318890814558059,0.8362369337979094,0.8275862068965517,0.8375209380234506,260,47,50,240
3,finetune,0.10264381783026008,0.17718770136585588,0.9198606271777003,0.9295774647887324,0.9103448275862069,0.9229480737018425,287,20,26,264
4,finetune,0.028283828596550774,0.14718597208834572,0.9295302013422819,0.9052287581699346,0.9551724137931035,0.9296482412060302,278,29,13,277
5,finetune,0.016615150333447043,0.14995786033483408,0.9126853377265239,0.8738170347003155,0.9551724137931035,0.9112227805695142,267,40,13,277
6,finetune,0.018580064723984154,0.1474088840248996,0.919093851132686,0.8658536585365854,0.9793103448275862,0.916247906197655,263,44,6,284
7,finetune,0.007809538074605644,0.12832398866139463,0.9263157894736842,0.9428571428571428,0.9103448275862069,0.9296482412060302,291,16,26,264
8,finetune,0.009178089388856317,0.14948758592757347,0.9225589225589226,0.9013157894736842,0.9448275862068966,0.9229480737018425,277,30,16,274
