label,video_id,file_count,unique_frame_count,min_frame,max_frame,missing_frame_count,ordered_adjacent_gray_mae,shuffle_mean_gray_mae,shuffle_sd_gray_mae,gray_mae_z_vs_shuffle,gray_mae_shuffle_percentile,ordered_adjacent_dhash_hamming,shuffle_mean_dhash_hamming,shuffle_sd_dhash_hamming,dhash_z_vs_shuffle,dhash_shuffle_percentile
flip,0001,16,16,10,25,0,0.01805785484611988,0.061092944294214246,0.006421822489845826,-6.701382592891873,0.0,4.333333492279053,13.690666699409485,1.5082877693923797,-6.203944232008243,0.0
flip,0002,13,13,9,21,0,0.024254893884062767,0.07337869811803102,0.009123302607096291,-5.384432189693977,0.0,6.833333492279053,15.41958330631256,1.5005670302290288,-5.722003510048467,0.0
flip,0003,26,26,1,26,0,0.014069968834519386,0.05462990110740065,0.004461417999769782,-9.09126476716018,0.0,3.5999999046325684,13.049600014686584,1.0287543407869482,-9.185477752468604,0.0
flip,0004,24,24,5,28,0,0.0159077700227499,0.0723220892623067,0.006628120323064031,-8.511360157909403,0.0,3.3043477535247803,12.501086950302124,1.0637454953474024,-8.645619875244535,0.0
flip,0005,30,30,1,30,0,0.01536785252392292,0.07681064860895276,0.006654233246218664,-9.233640272520555,0.0,3.1724138259887695,12.742241401672363,0.9738049163092886,-9.827253298281908,0.0
flip,0006,30,30,1,30,0,0.01569439470767975,0.059515057355165484,0.004066958500608681,-10.774799556210697,0.0,3.275861978530884,10.408103454113007,0.6288739741357345,-11.34128898462368,0.0
flip,0007,26,26,5,30,0,0.014609873294830322,0.06910846376791596,0.006120524491373389,-8.9042353396182,0.0,3.0,11.365599975585937,1.008195902321653,-8.297593708049998,0.0
flip,0008,29,29,1,29,0,0.015607664361596107,0.06761895712465048,0.005153353264041475,-10.092708591505513,0.0,3.107142925262451,11.200178575515746,0.8787645999009497,-9.209560388715596,0.0
flip,0009,28,28,1,28,0,0.015972647815942764,0.07446843354031443,0.007116981766714596,-8.21918442983099,0.0,3.1481480598449707,11.255555548667907,0.9693200222622557,-8.364015291772676,0.0
flip,0010,27,27,4,30,0,0.01884758286178112,0.0930876611918211,0.007931438646393726,-9.360228533545492,0.0,3.0,12.64557689666748,1.0159434952728161,-9.494206067117254,0.0
flip,0011,26,26,5,30,0,0.0133026959374547,0.05775391981005669,0.005136842593511527,-8.653413660903183,0.0,3.640000104904175,10.887599973678588,0.8274330547738942,-8.759137463700801,0.0
flip,0012,24,24,7,30,0,0.016332488507032394,0.05242719732224941,0.004467054363754649,-8.080203614284803,0.0,3.7826087474823,10.816521763801575,0.7821249413204212,-8.993336799161886,0.0
flip,0013,27,27,4,30,0,0.013183078728616238,0.052403958309441806,0.004389407434171616,-8.935347235139375,0.0,3.038461446762085,10.936923065185546,0.7637516360363555,-10.341662453797328,0.0
flip,0014,23,23,1,23,0,0.011499502696096897,0.04431950751692057,0.0036355907361645427,-9.027420081790602,0.0,2.3636362552642822,10.1172727227211,0.9987258800742814,-7.763528133345391,0.0
flip,0015,30,30,1,30,0,0.014122849330306053,0.06362988391891122,0.005110953962075103,-9.686456766381196,0.0,3.620689630508423,13.5650000333786,1.0974738579304082,-9.061090914386734,0.0
flip,0016,29,29,2,30,0,0.014113960787653923,0.07518242346122861,0.00692352231171317,-8.820432711000217,0.0,3.2142856121063232,16.953214240074157,1.662926313249244,-8.261898629244076,0.0
flip,0017,19,19,4,22,0,0.0158319603651762,0.05533672735095024,0.005547036087882852,-7.121779335827596,0.0,3.6111111640930176,12.318333339691161,1.2979163612127231,-6.708615775104684,0.0
flip,0018,26,26,1,26,0,0.013813916593790054,0.05231972167268396,0.003957421811237726,-9.730022958268075,0.0,3.880000114440918,12.218400030136108,0.9281295686826906,-8.98409036523857,0.0
flip,0019,19,19,12,30,0,0.017066335305571556,0.05890677636489272,0.005747067164332079,-7.280311829135172,0.0,4.05555534362793,13.136666669845582,1.323782079048011,-6.859974515403828,0.0
flip,0020,20,20,4,23,0,0.01548784039914608,0.04899937240406871,0.004113418419881406,-8.146881397465226,0.0,4.1052632331848145,11.422631568908692,1.0777085784110305,-6.789746766711811,0.0
flip,0021,21,21,10,30,0,0.01856498047709465,0.06818155828863383,0.006046126035518979,-8.206341965096046,0.0,4.75,12.994000000953674,1.071508114989898,-7.693828805982863,0.0
flip,0022,18,18,7,24,0,0.019219020381569862,0.052154330592602494,0.004643107858539582,-7.093376077934129,0.0,4.941176414489746,12.098529410362243,0.9881835497847906,-7.242938821872966,0.0
flip,0023,14,14,3,25,9,0.019296981394290924,0.055331624001264575,0.006465260491374452,-5.573579387102628,0.0,6.769230842590332,15.014230766296386,1.503488835522073,-5.483911638654138,0.0
flip,0024,12,12,16,27,0,0.018298709765076637,0.044367033280432226,0.00488157180468009,-5.340149558050792,0.0,4.636363506317139,11.994090890884399,1.5587682890694008,-4.7202188010636865,0.0
flip,0025,11,11,4,14,0,0.017179172486066818,0.045954452734440564,0.005263045296924225,-5.467420214906815,0.0,5.199999809265137,12.037500004768372,1.2327783535757213,-5.546414873096045,0.0
flip,0026,15,15,8,22,0,0.016198286786675453,0.04694147767499089,0.005380327216943462,-5.7140002175890885,0.0,6.0714287757873535,13.100357112884522,1.1494804790341415,-6.1148740368372945,0.0
flip,0027,10,10,11,20,0,0.020755676552653313,0.048570375367999075,0.006013896286079567,-4.625071250352081,0.0,6.777777671813965,13.038888874053955,1.3217320400441004,-4.737050334371166,0.0
