feature,point_biserial_r,p_value,cohens_d_flip_vs_notflip,abs_r,abs_d
saturation_mean,0.28175616937921016,1.1540438263694994e-55,0.587347467759172,0.28175616937921016,0.587347467759172
brightness_mean,-0.22313883505544596,4.851846750130026e-35,-0.45785283193202825,0.22313883505544596,0.45785283193202825
contrast_std,-0.09396398409291107,2.6551043390152844e-07,-0.18877631604208073,0.09396398409291107,0.18877631604208073
edge_density,-0.04723918307999638,0.009794236172227487,-0.0945905650613648,0.04723918307999638,0.0945905650613648
jpeg_bytes,-0.02235162009956403,0.22184243166571416,-0.044717534114632446,0.02235162009956403,0.044717534114632446
sharpness_laplacian_var,-0.019495094685256176,0.2866559069661649,-0.039000324460277826,0.019495094685256176,0.039000324460277826
