video_id,notflip_frames,flip_frames,mean_full_l1_distance,mean_full_l1_rank_notflip_to_flip,mean_full_l1_pct_notflip_to_flip,mean_full_l1_rank_flip_to_notflip,mean_full_l1_pct_flip_to_notflip,median_full_l1_distance,median_full_l1_rank_notflip_to_flip,median_full_l1_pct_notflip_to_flip,median_full_l1_rank_flip_to_notflip,median_full_l1_pct_flip_to_notflip,border_l1_distance,border_l1_rank_notflip_to_flip,border_l1_pct_notflip_to_flip,border_l1_rank_flip_to_notflip,border_l1_pct_flip_to_notflip,center_l1_distance,center_l1_rank_notflip_to_flip,center_l1_pct_notflip_to_flip,center_l1_rank_flip_to_notflip,center_l1_pct_flip_to_notflip,color_hist_cosine_distance,color_hist_cosine_rank_notflip_to_flip,color_hist_cosine_pct_notflip_to_flip,color_hist_cosine_rank_flip_to_notflip,color_hist_cosine_pct_flip_to_notflip,composite_mean_percentile,composite_median_percentile
0001,30,16,0.07196807116270065,6.0,0.078125,1.0,0.0,0.07284087687730789,5.0,0.0625,1.0,0.0,0.06552905589342117,7.0,0.09375,2.0,0.0196078431372549,0.08201293647289276,5.0,0.0625,1.0,0.0,0.12677407264709473,29.0,0.4375,2.0,0.0196078431372549,0.07735906862745098,0.04105392156862745
0002,30,13,0.0730811357498169,1.0,0.0,2.0,0.0196078431372549,0.07000134140253067,1.0,0.0,1.0,0.0,0.06584110110998154,1.0,0.0,2.0,0.0196078431372549,0.08437559008598328,1.0,0.0,1.0,0.0,0.16450834274291992,38.0,0.578125,5.0,0.0784313725490196,0.06957720588235294,0.0
0003,30,26,0.08909033983945847,3.0,0.03125,6.0,0.09803921568627451,0.09191112965345383,2.0,0.015625,7.0,0.11764705882352941,0.09135877341032028,7.0,0.09375,10.0,0.17647058823529413,0.08555158227682114,1.0,0.0,5.0,0.0784313725490196,0.11067783832550049,30.0,0.453125,4.0,0.058823529411764705,0.11231617647058825,0.0860906862745098
0004,35,24,0.0763755515217781,6.0,0.078125,3.0,0.0392156862745098,0.07654542475938797,5.0,0.0625,3.0,0.0392156862745098,0.07013842463493347,8.0,0.109375,3.0,0.0392156862745098,0.08610547333955765,3.0,0.03125,3.0,0.0392156862745098,0.25374025106430054,63.0,0.96875,6.0,0.09803921568627451,0.15049019607843137,0.0508578431372549
0005,30,30,0.06664779782295227,4.0,0.046875,2.0,0.0196078431372549,0.06600429862737656,2.0,0.015625,2.0,0.0196078431372549,0.05520122870802879,4.0,0.046875,3.0,0.0392156862745098,0.08450444787740707,5.0,0.0625,1.0,0.0,0.13257431983947754,29.0,0.4375,7.0,0.11764705882352941,0.0805453431372549,0.0430453431372549
0006,30,30,0.08803519606590271,4.0,0.046875,6.0,0.09803921568627451,0.09512963891029358,3.0,0.03125,6.0,0.09803921568627451,0.04867907986044884,1.0,0.0,3.0,0.0392156862745098,0.1494307518005371,56.0,0.859375,7.0,0.11764705882352941,0.03084564208984375,2.0,0.015625,4.0,0.058823529411764705,0.1364889705882353,0.05284926470588235
0007,30,26,0.1261347383260727,7.0,0.09375,20.0,0.37254901960784315,0.13993997871875763,8.0,0.109375,22.0,0.4117647058823529,0.09531763941049576,5.0,0.0625,10.0,0.17647058823529413,0.17420941591262817,10.0,0.140625,50.0,0.9607843137254902,0.27884358167648315,57.0,0.875,11.0,0.19607843137254902,0.339889705882353,0.18627450980392157
0008,30,29,0.06552239507436752,1.0,0.0,2.0,0.0196078431372549,0.0702376589179039,1.0,0.0,3.0,0.0392156862745098,0.05401373282074928,2.0,0.015625,3.0,0.0392156862745098,0.08347591757774353,3.0,0.03125,4.0,0.058823529411764705,0.15309792757034302,36.0,0.546875,10.0,0.17647058823529413,0.09270833333333334,0.0352328431372549
0009,30,28,0.09244173020124435,5.0,0.0625,7.0,0.11764705882352941,0.10600282996892929,6.0,0.078125,8.0,0.13725490196078433,0.0686587318778038,3.0,0.03125,8.0,0.13725490196078433,0.12954318523406982,24.0,0.359375,9.0,0.1568627450980392,0.18070083856582642,49.0,0.75,18.0,0.3333333333333333,0.21636029411764707,0.13725490196078433
0010,30,27,0.11208942532539368,9.0,0.125,8.0,0.13725490196078433,0.12158282846212387,10.0,0.140625,6.0,0.09803921568627451,0.09251019358634949,8.0,0.109375,7.0,0.11764705882352941,0.14263303577899933,10.0,0.140625,14.0,0.2549019607843137,0.2667643427848816,60.0,0.921875,9.0,0.1568627450980392,0.2202205882352941,0.13893995098039216
