sequence_a,sequence_b,label_a,label_b,video_id_a,video_id_b,same_numeric_video_id,border_l1,center_l1,hist_cosine,edge_l1,coarse_l1,border_l1_pct,center_l1_pct,hist_cosine_pct,edge_l1_pct,coarse_l1_pct,composite_pct,rank_a_to_b,rank_b_to_a,reciprocal_top3
notflip__0023,notflip__0025,notflip,notflip,0023,0025,0,0.008062493987381458,0.007826484739780426,0.0030128955841064453,0.02175862528383732,0.026029672473669052,0.06809137803979366,0.022549742078113486,0.0017686072218128224,0.02210759027266028,0.006337509211495947,0.028953574060427412,3,3,1
notflip__0028,notflip__0032,notflip,notflip,0028,0032,0,0.005592381116002798,0.009294611401855946,0.01608484983444214,0.022549020126461983,0.03186533600091934,0.030803242446573325,0.032719233603537214,0.04333087693441415,0.026823876197494472,0.019012527634487842,0.029130434782608697,2,1,1
notflip__0043,notflip__0056,notflip,notflip,0043,0056,0,0.001307174563407898,0.008181759156286716,0.00904613733291626,0.03190074488520622,0.028986411169171333,0.0004421518054532056,0.024613117170228446,0.018570375829034636,0.10405305821665438,0.011790714812085483,0.029137803979366248,6,1,0
notflip__0044,notflip__0057,notflip,notflip,0044,0057,0,0.008226324804127216,0.007360840681940317,0.007548272609710693,0.019562242552638054,0.02225334383547306,0.07148120854826824,0.019749447310243185,0.013854089904200442,0.01400147383935151,0.003537214443625645,0.029182019159911574,8,2,0
flip__0037,flip__0040,flip,flip,0037,0040,0,0.005963365081697702,0.0057622455060482025,0.018153071403503418,0.022484421730041504,0.0316837839782238,0.035814296241709655,0.011938098747236552,0.05187914517317612,0.026529108327192335,0.0182756079587325,0.02959469417833456,4,2,0
notflip__0048,notflip__0056,notflip,notflip,0048,0056,0,0.001579438685439527,0.008659430779516697,0.01059633493423462,0.030608758330345154,0.03171490877866745,0.0011790714812085483,0.02829771554900516,0.024465733235077378,0.09064112011790715,0.018570375829034636,0.029624170965364776,7,2,0
flip__0029,notflip__0020,flip,notflip,0029,0020,0,0.005788892507553101,0.008634974248707294,0.022018134593963623,0.021739626303315163,0.029147213324904442,0.03330876934414149,0.02815033161385409,0.06352247605011054,0.021812822402358142,0.01208548268238762,0.02971997052321297,3,3,1
notflip__0005,notflip__0008,notflip,notflip,0005,0008,0,0.0062128403224051,0.0028497104067355394,0.016163408756256104,0.02383720874786377,0.0325915552675724,0.03861459100957996,0.002505526897568165,0.04392041267501842,0.03330876934414149,0.020486366985998525,0.030206337509211492,2,1,1
flip__0051,flip__0055,flip,flip,0051,0055,0,0.003174819052219391,0.014531654305756092,0.009292423725128174,0.02686958573758602,0.034505654126405716,0.008106116433308769,0.0754605747973471,0.01915991156963891,0.05512159174649963,0.025644804716285923,0.030287398673544585,1,1,1
notflip__0048,notflip__0050,notflip,notflip,0048,0050,0,0.0031771163921803236,0.0171966589987278,0.010298311710357666,0.025326799601316452,0.03291834890842438,0.008253500368459838,0.1081798084008843,0.02313927781871776,0.04406779661016949,0.021812822402358142,0.03103168754605748,8,2,0
