epoch,phase,train_loss,validation_loss,validation_f1,validation_precision,validation_recall,validation_accuracy,validation_tn,validation_fp,validation_fn,validation_tp
1,head,0.37373184752937644,0.509517813514466,0.8114754098360656,0.8148148148148148,0.8081632653061225,0.8075313807531381,188,45,47,198
2,head,0.24703816712961427,0.6013222827525443,0.6960556844547564,0.8064516129032258,0.6122448979591837,0.7259414225941423,197,36,95,150
3,finetune,0.09059351456887794,0.5869008137466518,0.7847619047619048,0.7357142857142858,0.8408163265306122,0.7635983263598326,159,74,39,206
4,finetune,0.022079983513019864,0.7228845058001235,0.7935943060498221,0.7034700315457413,0.9102040816326531,0.7573221757322176,139,94,22,223
5,finetune,0.0127782517622732,0.8142059700696039,0.7808219178082192,0.672566371681416,0.9306122448979591,0.7322175732217573,122,111,17,228
6,finetune,0.007011966674725837,1.1192425910897834,0.7817589576547231,0.6504065040650406,0.9795918367346939,0.7196652719665272,104,129,5,240
7,finetune,0.002667248834050071,1.1741510337865502,0.7697262479871175,0.6356382978723404,0.9755102040816327,0.700836820083682,96,137,6,239
8,finetune,0.0019356431955298411,1.1090073910966578,0.7617504051863857,0.6317204301075269,0.9591836734693877,0.6924686192468619,96,137,10,235
